trading_symbol,exchange_token
NIFTYADD-EQ,7451
INDOCO-EQ,11677
J&KBANK-EQ,5633
VASWANI-EQ,25340
SBFC-EQ,18026
GRAVITA-EQ,20534
TATACOMM-EQ,3721
INFOMEDIA-EQ,13693
TATACHEM-EQ,3405
JKLAKSHMI-EQ,13491
KIRLOSENG-EQ,20936
GHCL-EQ,1127
SILVERBETA-EQ,15085
PURVA-EQ,14922
APOLSINHOT-EQ,6302
BANCOINDIA-EQ,13880
SHRIPISTON-EQ,17186
PGHL-EQ,940
ALPHA-EQ,7412
HPAL-EQ,7376
WELINV-EQ,19800
TORNTPHARM-EQ,3518
GROWWLOVOL-EQ,758300
RISHABH-EQ,18417
KOTHARIPET-EQ,4594
LIBERTSHOE-EQ,1994
JITFINFRA-EQ,19691
CINEVISTA-EQ,8024
MOIL-EQ,20830
IGL-EQ,11262
SILINV-EQ,4105
NAGREEKCAP-EQ,14942
PSPPROJECT-EQ,20877
BAJAJFINSV-EQ,16675
MCX-EQ,31181
GROWWMOM50-EQ,756086
FUSION-EQ,11932
MGL-EQ,17534
KAVDEFENCE-EQ,15244
APLLTD-EQ,25328
CAMPUS-EQ,9362
BANKNIFTY1-EQ,5851
DEVX-EQ,759079
TRIVENI-EQ,13081
BANKETF-EQ,17419
BANKA-EQ,822
STLNETWORK-EQ,758958
TVSHLTD-EQ,29008
ATHERENERG-EQ,757645
EGOLD-EQ,19933
MVGJL-EQ,19015
ONGC-EQ,2475
RML-EQ,11975
GOLDBEES-EQ,14428
AYMSYNTEX-EQ,10285
RSSOFTWARE-EQ,6429
GSEC10IETF-EQ,13143
BALAJEE-EQ,25203
QNIFTY-EQ,16819
LIKHITHA-EQ,578
LAL-EQ,14924
MUTHOOTFIN-EQ,23650
VENTIVE-EQ,28847
MANYAVAR-EQ,8167
JAGSNPHARM-EQ,4410
OMFREIGHT-EQ,759411
CANFINHOME-EQ,583
UNICHEMLAB-EQ,3579
WCIL-EQ,25403
EMSLIMITED-EQ,18593
RUDRA-EQ,760392
LTGILTBEES-EQ,17700
LUPIN-EQ,10440
INDOUS-EQ,25503
KILITCH-EQ,19937
JWL-EQ,20224
KAYNES-EQ,12092
AKZOINDIA-EQ,1467
DHANBANK-EQ,11359
YESBANK-EQ,11915
ARIHANTCAP-EQ,3813
EBBETF0431-EQ,22239
RAJTV-EQ,14403
ARKADE-EQ,25398
MIRCELECTR-EQ,2202
LINDEINDIA-EQ,1627
WOCKPHARMA-EQ,7506
GRMOVER-EQ,10871
LIQUIDADD-EQ,23407
AUTOIETF-EQ,7844
RUSTOMJEE-EQ,12219
CAPACITE-EQ,21749
CPEDU-EQ,758941
VINDHYATEL-EQ,3694
THEMISMED-EQ,14485
NIRAJ-EQ,255
GRANULES-EQ,11872
UNIONBANK-EQ,10753
PRITIKAUTO-EQ,5292
VISHNU-EQ,6908
SCHAEFFLER-EQ,1011
RATNAMANI-EQ,13451
GPTINFRA-EQ,17685
VGUARD-EQ,15362
LAGNAM-EQ,5865
MUFIN-EQ,19783
TIJARIA-EQ,25482
ARSSBL-EQ,759956
KHANDSE-EQ,9641
QGOLDHALF-EQ,15330
UNITECH-EQ,3594
BHARATRAS-EQ,3834
CHEMCON-EQ,270
AARTIIND-EQ,7
LIQUIDETF-EQ,1927
SUVEN-EQ,11233
NILKAMAL-EQ,2421
BAJAJHIND-EQ,308
GSEC10ABSL-EQ,24847
NTPCGREEN-EQ,27176
DELHIVERY-EQ,9599
OILCOUNTUB-EQ,2472
MOIPO-EQ,759891
ZENITHEXPO-EQ,4176
ACMESOLAR-EQ,27061
TVSSRICHAK-EQ,14245
E2E-EQ,8937
TANLA-EQ,13976
LTF-EQ,24948
DABUR-EQ,772
PDSL-EQ,5264
KRITINUT-EQ,11432
ARIES-EQ,15204
SHILCTECH-EQ,759847
IFBIND-EQ,1485
ENERGY-EQ,759780
BIKAJI-EQ,11966
SYRMA-EQ,10793
LGEINDIA-EQ,760213
MASTERTR-EQ,27047
UNIENTER-EQ,11293
CERA-EQ,15039
RELTD-EQ,24596
TRU-EQ,9378
AHLADA-EQ,2004
HEALTHY-EQ,6297
ASTEC-EQ,17728
REMSONSIND-EQ,3965
AGI-EQ,1412
VSSL-EQ,27067
NIVABUPA-EQ,27097
JBMA-EQ,11655
METROPOLIS-EQ,9581
DBL-EQ,18086
RUPA-EQ,25724
DOLATALGO-EQ,12124
RACLGEAR-EQ,27171
LGBBROSLTD-EQ,18321
IRCON-EQ,4986
HDFCPSUBK-EQ,22595
GSFC-EQ,1247
REPCOHOME-EQ,29598
SARVESHWAR-EQ,12913
ORIENTTECH-EQ,24961
INSPIRISYS-EQ,13730
AVANTIFEED-EQ,7936
HINDPETRO-EQ,1406
CHOLAHLDNG-EQ,21740
SETF10GILT-EQ,17395
HUDCO-EQ,20825
TALBROAUTO-EQ,13648
KREBSBIO-EQ,1937
BUILDPRO-EQ,760594
SUNPHARMA-EQ,3351
CHEMBONDCH-EQ,757989
HEMIPROP-EQ,701
GLAXO-EQ,1153
BLUESTONE-EQ,759291
GESHIP-EQ,13776
PACEDIGITK-EQ,759342
GMMPFAUDLR-EQ,1570
KICL-EQ,21119
KSB-EQ,1949
HDFCGROWTH-EQ,11241
BSLNIFTY-EQ,24781
REDINGTON-EQ,14255
SUYOG-EQ,24851
WEL-EQ,7835
RATNAVEER-EQ,18423
COHANCE-EQ,17945
GUJTHEM-EQ,29731
LTTS-EQ,18564
ONMOBILE-EQ,15278
HYBRIDFIN-EQ,12809
RUBFILA-EQ,24730
CELEBRITY-EQ,13162
KHADIM-EQ,425
STERTOOLS-EQ,4299
PAUSHAKLTD-EQ,759969
GREENPANEL-EQ,13810
IGCL-EQ,757801
KEC-EQ,13260
NIITLTD-EQ,11522
ARVINDFASN-EQ,9111
PFC-EQ,14299
ABCAPITAL-EQ,21614
IVALUE-EQ,759041
SBISILVER-EQ,24366
EMAMIREAL-EQ,19277
PIIND-EQ,24184
ZFCVINDIA-EQ,16915
TEXRAIL-EQ,21828
MONTECARLO-EQ,5938
DALBHARAT-EQ,8075
BANKBETF-EQ,21986
LLOYDSME-EQ,17313
MBLINFRA-EQ,18029
IONEXCHANG-EQ,1630
ASIANENE-EQ,7030
EMAMIPAP-EQ,10074
UFO-EQ,9039
AXISBNKETF-EQ,1044
BIOFILCHEM-EQ,4136
IZMO-EQ,14174
SAGARDEEP-EQ,8175
KCP-EQ,1841
RPPINFRA-EQ,20760
IFCI-EQ,1491
URAVIDEF-EQ,17071
MHRIL-EQ,17333
CALSOFT-EQ,8341
LICNETFSEN-EQ,11441
KPIL-EQ,1814
HARIOMPIPE-EQ,8968
HDFCNIFBAN-EQ,22433
GOCLCORP-EQ,3963
SUNDARAM-EQ,18931
GROWWPOWER-EQ,758165
PRAENG-EQ,13941
EIDPARRY-EQ,916
SGMART-EQ,758889
SETCO-EQ,17514
BBTCL-EQ,12153
VSTL-EQ,22730
JBCHEPHARM-EQ,1726
DBSTOCKBRO-EQ,31107
JHS-EQ,13720
PRABHA-EQ,30134
NIFTY1-EQ,18102
ORCHPHARMA-EQ,926
LORDSCHLO-EQ,18232
RSWM-EQ,2794
NAUKRI-EQ,13751
ELECTCAST-EQ,928
KIOCL-EQ,19126
PVSL-EQ,23142
PALASHSECU-EQ,21383
LEMONTREE-EQ,2606
MGEL-EQ,1593
JSWHL-EQ,11880
AJAXENGG-EQ,29624
SYNGENE-EQ,10243
EMAMILTD-EQ,13517
TNIDETF-EQ,8882
GABRIEL-EQ,1085
LIQUIDPLUS-EQ,27075
JMA-EQ,7109
COCHINSHIP-EQ,21508
CLEAN-EQ,5049
AARTECH-EQ,17145
MOMIDMTM-EQ,757817
BHARATGEAR-EQ,426
VASCONEQ-EQ,18110
PRUDENT-EQ,9553
PARACABLES-EQ,13951
ICICIB22-EQ,522
NIFTYBETF-EQ,21959
LT-EQ,11483
GREENPOWER-EQ,20110
BBNPNBETF-EQ,24117
GMRAIRPORT-EQ,13528
NESCO-EQ,15409
SANOFI-EQ,1442
NATCOPHARM-EQ,3918
BANKPSU-EQ,25725
GRAPHITE-EQ,592
SRD-EQ,25737
GROWWEV-EQ,24798
DWARKESH-EQ,11667
360ONE-EQ,13061
KANPRPLA-EQ,1782
SILVERTUC-EQ,9422
HONAUT-EQ,3417
JAYAGROGN-EQ,4041
INDTERRAIN-EQ,21957
ASAL-EQ,10634
NAGAFERT-EQ,17295
MOTHERSON-EQ,4204
NV20-EQ,11457
RADIANTCMS-EQ,13580
GANESHCP-EQ,759012
SUDARCOLOR-EQ,715
ZYDUSLIFE-EQ,7929
MITCON-EQ,8469
PITTIENG-EQ,14134
GOLDBETA-EQ,14535
BLKASHYAP-EQ,13290
INDIAGLYCO-EQ,1521
TIPSFILMS-EQ,11374
MAHLOG-EQ,385
DBCORP-EQ,17881
EIFFL-EQ,6040
CONFIPET-EQ,10238
GENCON-EQ,2188
CASTROLIND-EQ,1250
ORIENTLTD-EQ,18208
ALPL30IETF-EQ,22344
BAJFINANCE-EQ,317
TMPV-EQ,3456
SHADOWFAX-EQ,761469
PCBL-EQ,2649
VEDL-EQ,3063
ASHAPURMIN-EQ,203
AVADHSUGAR-EQ,21406
AJMERA-EQ,17307
ALKALI-EQ,16959
IRISDOREME-EQ,2275
SUMIT-EQ,11140
TFL-EQ,14319
CASHIETF-EQ,30139
FOODSIN-EQ,6673
ADANIGREEN-EQ,3563
AXISNIFTY-EQ,21252
EQUAL50ADD-EQ,6606
RECLTD-EQ,15355
HEALTHIETF-EQ,3626
SEMAC-EQ,11961
JUBLPHARMA-EQ,3637
OSWALAGRO-EQ,2514
IMFA-EQ,19235
ESG-EQ,1200
GOLD360-EQ,30105
UCOBANK-EQ,11223
CREST-EQ,13900
MASTEK-EQ,2124
MANKIND-EQ,15380
GLOBALE-EQ,24932
ENGINERSIN-EQ,4907
MAXESTATES-EQ,19646
TPHQ-EQ,16996
SYNCOMF-EQ,11992
TATAGOLD-EQ,21401
BANARBEADS-EQ,347
IVZINGOLD-EQ,18292
AWFIS-EQ,23864
BAJAJHFL-EQ,25270
PPAP-EQ,15209
TRF-EQ,17987
VENUSPIPES-EQ,9592
BRITANNIA-EQ,547
SADHNANIQ-EQ,15343
EXIDEIND-EQ,676
JTEKTINDIA-EQ,3237
JSLL-EQ,758115
TIMETECHNO-EQ,14707
TARIL-EQ,15174
WONDERLA-EQ,3002
MOQUALITY-EQ,10822
KABRAEXTRU-EQ,1805
HINDCOPPER-EQ,17939
ZENTEC-EQ,7508
OPTIEMUS-EQ,21469
NIFTYBEES-EQ,10576
ADVENZYMES-EQ,18039
FEDFINA-EQ,20322
GREENLAM-EQ,6848
SCODATUBES-EQ,757478
BHARATSE-EQ,30244
VEEDOL-EQ,14019
IGPL-EQ,14086
MMFL-EQ,13844
BHANDARI-EQ,19556
HINDCON-EQ,4920
NGLFINE-EQ,10277
PSUBANK-EQ,15061
ANDHRSUGAR-EQ,136
THEINVEST-EQ,21427
EQUITASBNK-EQ,913
TOKYOPLAST-EQ,3837
TI-EQ,19196
PRAXIS-EQ,1204
RAMCOIND-EQ,4587
ARVSMART-EQ,10457
VESUVIUS-EQ,3676
INTLCONV-EQ,5606
INDOWIND-EQ,14952
PDMJEPAPER-EQ,15377
ZAGGLE-EQ,18608
AMRUTANJAN-EQ,17547
SUPREMEIND-EQ,3363
MUFTI-EQ,20878
STALLION-EQ,29204
KPIGREEN-EQ,5108
CHENNPETRO-EQ,2049
SENSEXADD-EQ,17613
TIL-EQ,3484
MOALPHA50-EQ,757669
DEEPAKFERT-EQ,827
UMAEXPORTS-EQ,8842
AXISTECETF-EQ,3010
IT-EQ,2627
HINDZINC-EQ,1424
PRECWIRE-EQ,2717
DENTA-EQ,29256
TECILCHEM-EQ,3453
FILATFASH-EQ,23647
BAGFILMS-EQ,11226
RUBICON-EQ,759316
GROWWRAIL-EQ,29527
NTPC-EQ,11630
SUMICHEM-EQ,17105
SSWL-EQ,11829
INCREDIBLE-EQ,17507
BHARATWIRE-EQ,16123
RETAIL-EQ,24145
ESSARSHPNG-EQ,25634
AWHCL-EQ,1797
ADANIPORTS-EQ,15083
POONAWALLA-EQ,11403
21STCENMGM-EQ,4
EXPLEOSOL-EQ,17486
MIDHANI-EQ,2463
LATTEYS-EQ,15840
AIRAN-EQ,9897
ASHIMASYN-EQ,206
POLYMED-EQ,25718
SAPPHIRE-EQ,6718
LIQUIDBEES-EQ,11006
MALUPAPER-EQ,13352
SIL-EQ,11297
ADFFOODS-EQ,19761
ABB-EQ,13
BAJAJCON-EQ,19531
LICNETFGSC-EQ,6062
EXCEL-EQ,17376
BANDHANBNK-EQ,2263
LOTUSDEV-EQ,758145
PRITI-EQ,8304
DCMSHRIRAM-EQ,811
TDPOWERSYS-EQ,25178
STLTECH-EQ,9309
SOLARA-EQ,3672
DANGEE-EQ,1110
HLVLTD-EQ,1448
SARLAPOLY-EQ,14043
RUSHIL-EQ,24595
ORIENTCEM-EQ,30089
GAYAHWS-EQ,3693
SUZLON-EQ,12018
MAXIND-EQ,22428
M&M-EQ,2031
DCXINDIA-EQ,11895
JLHL-EQ,18553
SANGHVIMOV-EQ,14058
FLUOROCHEM-EQ,13750
AKSHAR-EQ,9558
AUROPHARMA-EQ,275
AZAD-EQ,20905
SHK-EQ,11212
KALYANKJIL-EQ,2955
PPL-EQ,10297
MINDTECK-EQ,18049
BLUSPRING-EQ,757520
CRAFTSMAN-EQ,2854
BALAXI-EQ,11309
TREL-EQ,17795
POLICYBZR-EQ,6656
SAKAR-EQ,9539
SWSOLAR-EQ,12489
PAKKA-EQ,17197
BANKINDIA-EQ,4745
KHAITANLTD-EQ,3912
AEROENTER-EQ,12015
HPL-EQ,18679
PVTBANIETF-EQ,11386
NIBE-EQ,29487
IVP-EQ,1681
TARAPUR-EQ,18827
QPOWER-EQ,29711
MASPTOP50-EQ,5782
ASAHIINDIA-EQ,5378
CAMLINFINE-EQ,6216
ABBOTINDIA-EQ,17903
AKSHOPTFBR-EQ,8591
ROTO-EQ,9049
PILANIINVS-EQ,11445
SUNDROP-EQ,1663
RBA-EQ,1494
NKIND-EQ,2439
ALLCARGO-EQ,13501
GROWWSC250-EQ,759522
NV20BEES-EQ,9847
WAAREEENER-EQ,25907
OILIETF-EQ,24533
SWARAJENG-EQ,3384
LOTUSEYE-EQ,16807
GOKUL-EQ,16705
KUANTUM-EQ,13870
UBL-EQ,16713
SAKSOFT-EQ,11794
UFBL-EQ,3127
VBL-EQ,18921
INDIANHUME-EQ,1530
SBIETFQLTY-EQ,7218
KINGFA-EQ,18944
SILVERAG-EQ,16777
WELENT-EQ,11626
BATAINDIA-EQ,371
AEGISVOPAK-EQ,757336
UNIONGOLD-EQ,29687
GAIL-EQ,4717
HEALTHADD-EQ,22592
INDUSINDBK-EQ,5258
PTL-EQ,14101
BFSI-EQ,5220
TOLINS-EQ,25262
SECMARK-EQ,19496
SHARDACROP-EQ,4992
MANBA-EQ,25597
LOKESHMACH-EQ,13436
HINDALCO-EQ,1363
BAJAJ-AUTO-EQ,16669
JYOTICNC-EQ,21334
LANDMARK-EQ,13276
PIDILITIND-EQ,2664
RAJRATAN-EQ,18962
UMIYA-MRO-EQ,8998
PFIZER-EQ,2643
MANAKCOAT-EQ,7413
STYLEBAAZA-EQ,25114
NEXT30ADD-EQ,29464
ABSLAMC-EQ,6018
SHRIRAMFIN-EQ,4306
POLYPLEX-EQ,2687
SBIBPB-EQ,30290
BSLSENETFG-EQ,5957
ELM250-EQ,758952
KNRCON-EQ,15283
AONETMMQ50-EQ,759992
MAHKTECH-EQ,7074
ALLTIME-EQ,758448
HDFCQUAL-EQ,11255
APLAPOLLO-EQ,25780
GOLDTECH-EQ,9874
PARAGMILK-EQ,17130
JUBLCPL-EQ,29590
MOREALTY-EQ,23184
UJJIVANSFB-EQ,15228
GUJALKALI-EQ,1267
SIRCA-EQ,11050
MULTICAP-EQ,25080
ICICIGI-EQ,21770
PVP-EQ,4010
STARCEMENT-EQ,21091
LAURUSLABS-EQ,19234
EUREKAFORB-EQ,25162
GKSL-EQ,761197
PUNJABCHEM-EQ,4344
GLOTTIS-EQ,760116
SANDUMA-EQ,18359
BIRLACORPN-EQ,480
AMJLAND-EQ,2598
MAHABANK-EQ,11377
THELEELA-EQ,757014
UTIAMC-EQ,527
ESCORTS-EQ,958
BAJAJELEC-EQ,15034
SAREGAMA-EQ,4892
DRCSYSTEMS-EQ,2645
ECLERX-EQ,15179
SWANCORP-EQ,27095
AARTISURF-EQ,19233
ELDEHSG-EQ,8953
HARRMALAYA-EQ,1313
CSLFINANCE-EQ,10350
ATGL-EQ,6066
CENTENKA-EQ,619
ARVIND-EQ,193
NDRAUTO-EQ,22255
SPIC-EQ,3252
LGHL-EQ,19876
NEXT50-EQ,17181
AXSENSEX-EQ,14742
MAKEINDIA-EQ,7979
ANTGRAPHIC-EQ,5194
ICDSLTD-EQ,6977
VIKRAMSOLR-EQ,759453
KRIDHANINF-EQ,11480
KARMAENG-EQ,24385
GVPTECH-EQ,10865
MAGADSUGAR-EQ,21392
ORBTEXP-EQ,31475
ZEEL-EQ,3812
SFL-EQ,19184
JAYSREETEA-EQ,1720
MUNJALAU-EQ,13511
MID150-EQ,30469
UGROCAP-EQ,5313
GROWW-EQ,759806
ITETF-EQ,19633
SCI-EQ,3048
JAYKAY-EQ,760073
PARKHOTELS-EQ,22649
THOMASCOTT-EQ,31017
SILVERADD-EQ,10761
ASHOKLEY-EQ,212
NFL-EQ,13925
SALASAR-EQ,21362
ZODIACLOTH-EQ,3821
CSBBANK-EQ,14966
HUBTOWN-EQ,14203
KAMATHOTEL-EQ,1826
EXCELINDUS-EQ,11471
ERIS-EQ,21154
BAYERCROP-EQ,17927
RENUKA-EQ,12026
SUPREME-EQ,29439
TTL-EQ,14314
NACLIND-EQ,20425
BIRLANU-EQ,1455
NEOGEN-EQ,9917
GNFC-EQ,1174
MIDSELIETF-EQ,17702
ACC-EQ,22
MAYURUNIQ-EQ,28906
NESTLEIND-EQ,17963
HARSHA-EQ,11162
OSIAHYPER-EQ,12635
ARFIN-EQ,758700
AETHER-EQ,9810
SHRIRAMPPS-EQ,7200
DPABHUSHAN-EQ,936
AMBUJACEM-EQ,1270
JISLJALEQS-EQ,10397
NELCAST-EQ,14761
DIVIDEND-EQ,760412
PIXTRANS-EQ,9087
DCMFINSERV-EQ,4775
20MICRONS-EQ,16921
JISLDVREQS-EQ,25684
SAFARI-EQ,13035
SURANASOL-EQ,21077
CONSUMER-EQ,28969
ROUTE-EQ,128
TNPETRO-EQ,3509
SIKKO-EQ,6218
KSHINTL-EQ,760433
BLUEJET-EQ,19686
TENNIND-EQ,759880
SUPERSPIN-EQ,3357
EMMVEE-EQ,759728
DEN-EQ,17722
BALPHARMA-EQ,13441
SHALBY-EQ,714
NATIONALUM-EQ,6364
CRAMC-EQ,759311
CEWATER-EQ,28764
MANAKSIA-EQ,15199
SRM-EQ,23402
RAJMET-EQ,2168
GTLINFRA-EQ,13745
MEDICAMEQ-EQ,6278
WEWORK-EQ,759434
SWIGGY-EQ,27066
SPLPETRO-EQ,9617
TATASTEEL-EQ,3499
AONETOTAL-EQ,29975
KANANIIND-EQ,25786
MANAKSTEEL-EQ,7463
ARIHANTSUP-EQ,20159
RACE-EQ,15391
ORKLAINDIA-EQ,759569
KAMDHENU-EQ,13457
GROWWRLTY-EQ,759428
BIRLACABLE-EQ,477
AVL-EQ,25984
HDFCBSE500-EQ,14230
SANSTAR-EQ,24582
VARROC-EQ,3857
V2RETAIL-EQ,14766
TVSMOTOR-EQ,8479
AFIL-EQ,24159
ANTHEM-EQ,757885
ALLDIGI-EQ,11798
ALIVUS-EQ,5265
JAYBARMARU-EQ,1708
JINDALPHOT-EQ,11743
BALMLAWRIE-EQ,338
ASIANTILES-EQ,14889
BELLACASA-EQ,757938
KERNEX-EQ,13121
MEDICO-EQ,9667
MIDWESTLTD-EQ,759517
NETWEB-EQ,17433
NUCLEUS-EQ,10791
DIACABS-EQ,18543
KALPATARU-EQ,758558
3IINFOLTD-EQ,6232
ISGEC-EQ,3329
LODHA-EQ,3220
NIFTYCASE-EQ,759302
COMMOIETF-EQ,13198
BIRLAMONEY-EQ,15239
NEWGEN-EQ,1164
THERMAX-EQ,3475
EFCIL-EQ,758675
ALICON-EQ,13656
SURYAROSNI-EQ,3375
MKPL-EQ,16736
DIGJAMLMTD-EQ,6127
VTL-EQ,2073
SAMHI-EQ,18614
INDUSTOWER-EQ,29135
GANDHAR-EQ,20303
MALLCOM-EQ,7965
FSL-EQ,14304
SBICARD-EQ,17971
GTPL-EQ,21195
GANGAFORGE-EQ,4957
HCL-INSYS-EQ,1327
SETL-EQ,29075
DALMIASUG-EQ,781
ADVAIT-EQ,760657
ELLEN-EQ,758563
MODEFENCE-EQ,24944
KIMS-EQ,4847
TRAVELFOOD-EQ,757545
MENONBE-EQ,6961
MSUMI-EQ,8596
SENCO-EQ,17271
TCPLPACK-EQ,184
BECTORFOOD-EQ,1628
PATANJALI-EQ,17029
OFSS-EQ,10738
MANINFRA-EQ,18226
PRIVISCL-EQ,8825
TINNARUBR-EQ,756020
SHAKTIPUMP-EQ,25574
MASFIN-EQ,199
MONARCH-EQ,7679
SKFINDUS-EQ,760101
RSYSTEMS-EQ,13414
MAWANASUG-EQ,17022
ESSENTIA-EQ,30323
MUKANDLTD-EQ,11325
AONELIQUID-EQ,30472
MATRIMONY-EQ,21726
CROMPTON-EQ,17094
FACT-EQ,1008
AAVAS-EQ,5385
GKENERGY-EQ,759048
3PLAND-EQ,2595
RTNPOWER-EQ,17520
BHEL-EQ,438
GAEL-EQ,8828
SANDHAR-EQ,2397
SAMBHV-EQ,757767
AIAENG-EQ,13086
RESPONIND-EQ,20323
MAPMYINDIA-EQ,7227
XCHANGING-EQ,11705
ROHLTD-EQ,13182
MUTHOOTCAP-EQ,10415
IVC-EQ,6711
DIVGIITTS-EQ,14479
ACL-EQ,15420
JUSTDIAL-EQ,29962
PENIND-EQ,20621
SHIVAMAUTO-EQ,13756
AONENIFTY-EQ,757096
GOLDETF-EQ,14286
CARTRADE-EQ,5407
CDSL-EQ,21174
AEQUS-EQ,760234
ESILVER-EQ,20257
JSWCEMENT-EQ,758460
TIPSMUSIC-EQ,9117
ORCHASP-EQ,29492
STEL-EQ,21484
IVZINNIFTY-EQ,24217
NEXT50ETF-EQ,760709
EBANKNIFTY-EQ,25258
IIFLCAPS-EQ,13072
DRREDDY-EQ,881
NBCC-EQ,31415
PREMIERPOL-EQ,3908
UFLEX-EQ,1053
CORONA-EQ,760254
ASALCBR-EQ,17598
SARDAEN-EQ,17758
QUAL30IETF-EQ,17808
ULTRACEMCO-EQ,11532
MARICO-EQ,4067
BRNL-EQ,21683
MOINFRA-EQ,757031
GROWWLIQID-EQ,25447
MOCAPITAL-EQ,30065
NAM-INDIA-EQ,357
ANURAS-EQ,2829
ORIENTELEC-EQ,2972
DCAL-EQ,21704
MOREPENLAB-EQ,2259
JYOTHYLAB-EQ,15146
AROGRANITE-EQ,14557
ASHIANA-EQ,24403
SANGAMIND-EQ,4184
ABMINTLLTD-EQ,5549
DHANUKA-EQ,24409
SONATSOFTW-EQ,6596
GANGESSECU-EQ,21399
PIRAMALFIN-EQ,759551
TRANSRAILL-EQ,28714
CORDSCABLE-EQ,15271
KRBL-EQ,10577
TAINWALCHM-EQ,3396
ARMANFIN-EQ,17263
DYCL-EQ,10417
BTML-EQ,14150
PARSVNATH-EQ,13791
CGCL-EQ,20329
SML100CASE-EQ,758955
STARPAPER-EQ,3291
ABREL-EQ,625
APOLLOPIPE-EQ,14361
STAR-EQ,7374
JAICORPLTD-EQ,5143
TMB-EQ,10945
ATAM-EQ,15404
IRFC-EQ,2029
GSEC5IETF-EQ,8342
IITL-EQ,19525
KAJARIACER-EQ,1808
CHAMBLFERT-EQ,637
BANKBEES-EQ,11439
ADL-EQ,245
ONWARDTEC-EQ,2481
SHREYANIND-EQ,3126
UNITEDTEA-EQ,17999
GENUSPAPER-EQ,6600
VETO-EQ,8652
UCAL-EQ,3570
LTFOODS-EQ,13816
BLBLIMITED-EQ,8132
KITEX-EQ,28899
MAGNUM-EQ,14957
MOGOLD-EQ,757791
TRANSWORLD-EQ,3129
RRKABEL-EQ,18566
DLF-EQ,14732
MMP-EQ,16395
LICNETFN50-EQ,11319
HYUNDAI-EQ,25844
RAYMOND-EQ,2859
PPLPHARMA-EQ,11571
NOIDATOLL-EQ,10786
GEMAROMA-EQ,759461
CHOICEIN-EQ,8866
SULA-EQ,13218
KPEL-EQ,27079
DIAMINESQ-EQ,18644
SOLARWORLD-EQ,759929
KNAGRI-EQ,760923
GOLD1-EQ,14858
KROSS-EQ,25252
KDDL-EQ,14908
XTGLOBAL-EQ,25235
HDFCPVTBAN-EQ,12108
LAXMICOT-EQ,6568
APOLLO-EQ,1134
SDL26BEES-EQ,3022
WEIZMANIND-EQ,3748
GUJGASLTD-EQ,10599
PNBGILTS-EQ,8736
PANAMAPET-EQ,25392
TATACAP-EQ,759265
BORORENEW-EQ,3149
AGARWALEYE-EQ,29452
VINEETLAB-EQ,3807
HONDAPOWER-EQ,3138
NATHBIOGEN-EQ,11065
RPSGVENT-EQ,8119
BAJAJHLDNG-EQ,305
GODREJCP-EQ,10099
SOBHA-EQ,13826
GLOSTERLTD-EQ,23590
SUBEXLTD-EQ,967
PARAS-EQ,5911
RITCO-EQ,8944
EVEREADY-EQ,11782
ARCHIES-EQ,5688
DEEPINDS-EQ,3292
CNL-EQ,11155
HATSUN-EQ,3892
SURYALAXMI-EQ,11852
BVCL-EQ,15073
GVT&D-EQ,16783
MCLOUD-EQ,29482
APARINDS-EQ,11491
VPRPL-EQ,18341
EMMBI-EQ,18142
YUKEN-EQ,5501
INDNIPPON-EQ,4747
ITIETF-EQ,22365
DYNPRO-EQ,21314
OMINFRAL-EQ,24231
HDBFS-EQ,757772
CRIZAC-EQ,757850
MFML-EQ,24937
CHEMICAL-EQ,759885
AAREYDRUGS-EQ,5245
KAMOPAINTS-EQ,13814
TATATECH-EQ,20293
HSCL-EQ,14334
HDFCMOMENT-EQ,11538
5PAISA-EQ,445
SATIA-EQ,11045
PANACEABIO-EQ,4055
CONCORDBIO-EQ,18060
RAJSREESUG-EQ,2809
DREAMFOLKS-EQ,10859
CYIENTDLM-EQ,17187
GODFRYPHLP-EQ,1181
BRIGHOTEL-EQ,757794
JINDALSTEL-EQ,6733
PRUDMOULI-EQ,20527
RAMKY-EQ,20134
NAGREEKEXP-EQ,14702
ACCURACY-EQ,1465
MADHAV-EQ,15151
NITIRAJ-EQ,3247
BALUFORGE-EQ,23607
RADHIKAJWE-EQ,10343
MRF-EQ,2277
SMALLCAP-EQ,22832
SBC-EQ,6792
SKMEGGPROD-EQ,4732
SOMANYCERA-EQ,3880
KECL-EQ,18220
ARE&M-EQ,100
AFFORDABLE-EQ,25855
GFLLIMITED-EQ,1289
BALAJITELE-EQ,9158
FIRSTCRY-EQ,24814
LAXMIINDIA-EQ,758863
SAGILITY-EQ,27052
MONQ50-EQ,7422
NH-EQ,11840
RALLIS-EQ,2816
VIJIFIN-EQ,17691
HDFCLOWVOL-EQ,11547
TEXINFRA-EQ,11549
PSUBNKBEES-EQ,15032
MOTISONS-EQ,20788
SVLL-EQ,15121
BHARATFORG-EQ,422
MID150BEES-EQ,8506
IFGLEXPOR-EQ,436
BAJEL-EQ,20531
AUTOAXLES-EQ,278
DOLPHIN-EQ,18139
VSTIND-EQ,3724
MONIFTY500-EQ,19237
TEJASNET-EQ,21131
GNA-EQ,18571
PLATIND-EQ,22930
TIINDIA-EQ,312
PRAJIND-EQ,2705
SUMEETINDS-EQ,20790
JUNIPER-EQ,22824
ASAHISONG-EQ,25088
