trading_symbol,exchange_token
RELIANCE-EQ,2885
LALPATHLAB-EQ,11654
LEMERITE-EQ,760300
ZYDUSWELL-EQ,17635
KSOLVES-EQ,11060
HINDUNILVR-EQ,1394
KEI-EQ,13310
BANKADD-EQ,13644
ARENTERP-EQ,181
TIGERLOGS-EQ,759176
CPCAP-EQ,20086
RATEGAIN-EQ,7177
ZOTA-EQ,11394
SUNFLAG-EQ,3348
AXISBPSETF-EQ,3530
MON50EQUAL-EQ,756900
SHAHALLOYS-EQ,11856
SELECTIPO-EQ,30109
MAHSEAMLES-EQ,2088
SESHAPAPER-EQ,3066
FIBERWEB-EQ,8159
MONIFTY100-EQ,759371
VENKEYS-EQ,3757
GENUSPOWER-EQ,11905
VIDYAWIRES-EQ,760224
IMAGICAA-EQ,7672
REPL-EQ,1480
VINNY-EQ,12490
NAZARA-EQ,2987
MOMENTUM50-EQ,25606
AONEGOLD-EQ,758904
ADANIENT-EQ,25
CARBORUNIV-EQ,595
GPPL-EQ,19731
BANG-EQ,15303
FCL-EQ,6198
AMNPLST-EQ,19867
HDFCNIFIT-EQ,12101
WENDT-EQ,4235
KOTAKBANK-EQ,1922
NIRAJISPAT-EQ,18840
UNIVCABLES-EQ,3607
REGAAL-EQ,758680
BSE-EQ,19585
GOLDCASE-EQ,22901
APTUS-EQ,5435
ADSL-EQ,14813
HEXT-EQ,29666
UDS-EQ,19113
UNIVASTU-EQ,18977
GRINDWELL-EQ,13560
JTLIND-EQ,7287
AHLUCONT-EQ,17833
GLAND-EQ,1186
EVIETF-EQ,755881
PVRINOX-EQ,13147
PAYTM-EQ,6705
BOROLTD-EQ,19401
VHL-EQ,11892
METAL-EQ,25744
IPCALAB-EQ,1633
CARERATING-EQ,29113
DAMODARIND-EQ,17541
ORIENTPPR-EQ,2496
SHANTIGEAR-EQ,3078
CONSUMBEES-EQ,2435
PSB-EQ,21001
MPSLTD-EQ,10578
AGARIND-EQ,3389
AKASH-EQ,13510
MOTOUR-EQ,757443
GROWWN200-EQ,29872
SCPL-EQ,12072
VOLTAMP-EQ,13577
EIHAHOTELS-EQ,15399
STARTECK-EQ,9305
HAVISHA-EQ,7457
ABGSEC-EQ,24404
NECCLTD-EQ,13522
NIF100BEES-EQ,29577
SETFNN50-EQ,7353
STYLAMIND-EQ,5186
SENSEXETF-EQ,19224
AKSHARCHEM-EQ,20178
SPCENET-EQ,19372
JKIPL-EQ,759205
MOM30IETF-EQ,10585
PSUBANKADD-EQ,17616
COMPUSOFT-EQ,31138
APTECHT-EQ,10755
RBLBANK-EQ,18391
SJS-EQ,6643
INTERARCH-EQ,24909
HERANBA-EQ,2614
SGIL-EQ,5114
LUXIND-EQ,11301
BBETF0432-EQ,7196
KOTHARIPRO-EQ,5528
SUVIDHAA-EQ,2998
KEYFINSERV-EQ,4157
CANTABIL-EQ,20160
RAINBOW-EQ,9408
EDELWEISS-EQ,15119
AMBER-EQ,1185
SUNTV-EQ,13404
KIRLOSBROS-EQ,18581
EMIL-EQ,11530
DEVYANI-EQ,5373
LIQUID1-EQ,13950
WIPL-EQ,20481
GROWWNET-EQ,757814
TATAPOWER-EQ,3426
ABSLLIQUID-EQ,14518
SALONA-EQ,17351
WALCHANNAG-EQ,3736
PNC-EQ,9342
ROSSARI-EQ,19410
SHIVALIK-EQ,7016
LUMAXTECH-EQ,14014
POWERMECH-EQ,10473
LIBAS-EQ,11082
AERONEU-EQ,13689
LIQGRWBEES-EQ,757725
EICHERMOT-EQ,910
GATEWAY-EQ,8510
BANKBETA-EQ,22440
SETFGOLD-EQ,17272
SIGACHI-EQ,6663
SPECTRUM-EQ,30455
HINDWAREAP-EQ,15883
KRN-EQ,25643
ATLANTAELE-EQ,759007
SUKHJITS-EQ,11804
CAPITALSFB-EQ,22675
SENORES-EQ,28888
BBTC-EQ,380
THOMASCOOK-EQ,3481
OAL-EQ,10768
LENSKART-EQ,759605
OMAXE-EQ,14853
COSMOFIRST-EQ,742
KRONOX-EQ,24025
ORIENTHOT-EQ,2493
EMKAY-EQ,13421
LICMFGOLD-EQ,25640
SWELECTES-EQ,11909
TCS-EQ,11536
GLOBE-EQ,393
MANINDS-EQ,11884
ORISSAMINE-EQ,19931
MAHEPC-EQ,17603
SAKHTISUG-EQ,2969
NAVNETEDUL-EQ,2385
COUNCODOS-EQ,16986
NELCO-EQ,2388
PNB-EQ,10666
AVG-EQ,15589
HDFCLIQUID-EQ,18279
TARSONS-EQ,6943
GROWWGOLD-EQ,25872
STYRENIX-EQ,19
BALKRISIND-EQ,335
AJANTPHARM-EQ,8124
GROWWSLVR-EQ,756827
GROWWCHEM-EQ,760673
SOFTTECH-EQ,8266
KPITTECH-EQ,9683
LOWVOL-EQ,14786
RELAXO-EQ,24225
APOLLOHOSP-EQ,157
SYMPHONY-EQ,24190
RELIGARE-EQ,15068
AARTIDRUGS-EQ,4481
QUADFUTURE-EQ,29087
PFS-EQ,22602
TITAN-EQ,3506
MOPSE-EQ,757431
AARVI-EQ,19073
TRIDENT-EQ,9685
PGIL-EQ,14260
RKFORGE-EQ,11411
SCHNEIDER-EQ,31234
OIL-EQ,17438
VIPCLOTHNG-EQ,14843
RNBDENIMS-EQ,758981
SHREEPUSHK-EQ,10588
ALKYLAMINE-EQ,4487
VARDHACRLC-EQ,11220
SBGLP-EQ,14139
CHOLAFIN-EQ,685
GKWLIMITED-EQ,17357
BBNPPGOLD-EQ,20547
ASHOKAMET-EQ,16943
SURYODAY-EQ,2970
PAVNAIND-EQ,16192
PLAZACABLE-EQ,19458
IPL-EQ,4934
JGCHEM-EQ,23056
RPOWER-EQ,15259
CENTEXT-EQ,11511
MUTHOOTMF-EQ,20831
SUBROS-EQ,3324
GSEC10YEAR-EQ,14938
EIHOTEL-EQ,919
SUNCLAY-EQ,20956
DREDGECORP-EQ,11271
SPLIL-EQ,11935
NEXTMEDIA-EQ,9867
JOCIL-EQ,16927
TATAELXSI-EQ,3411
STCINDIA-EQ,10948
ANGELONE-EQ,324
JAIPURKURT-EQ,5516
SANATHAN-EQ,28805
GROWWMC150-EQ,759719
DIGITIDE-EQ,757515
RVNL-EQ,9552
WEBELSOLAR-EQ,14602
EMCURE-EQ,24398
MTNL-EQ,2294
HEIDELBERG-EQ,2316
FIVESTAR-EQ,12032
HBLENGINE-EQ,13966
MAZDA-EQ,18866
NRBBEARING-EQ,7553
PHOENIXLTD-EQ,14552
SRF-EQ,3273
RAMAPHO-EQ,10568
PRAKASH-EQ,2708
OSWALPUMPS-EQ,756802
ADROITINFO-EQ,4953
MANORG-EQ,6422
STUDDS-EQ,759587
HDFCLIFE-EQ,467
INDORAMA-EQ,10993
DGCONTENT-EQ,10346
OBEROIRLTY-EQ,20242
CHEMPLASTS-EQ,5449
RAMRAT-EQ,10485
PRECOT-EQ,2711
OCCLLTD-EQ,25918
SKIPPER-EQ,9428
SILVERIETF-EQ,7942
DATAMATICS-EQ,11423
RPGLIFE-EQ,16725
KANORICHEM-EQ,1835
NPST-EQ,756324
MAHLIFE-EQ,8050
AARON-EQ,1030
ANDHRAPAP-EQ,166
MPHASIS-EQ,4503
SUPRAJIT-EQ,11689
SAURASHCEM-EQ,3018
WINDMACHIN-EQ,24969
DCMNVL-EQ,11039
MEDIASSIST-EQ,21705
AXISBANK-EQ,5900
SETFNIFBK-EQ,7361
BANSALWIRE-EQ,24386
TECHM-EQ,13538
MOMGF-EQ,757099
TATAINVEST-EQ,1621
MADHUCON-EQ,13671
VAKRANGEE-EQ,13342
VIPIND-EQ,3703
SPANDANA-EQ,11435
LIQUIDIETF-EQ,4838
MOTOGENFIN-EQ,2268
PETRONET-EQ,11351
KANSAINER-EQ,1196
IOLCP-EQ,20413
VOLTAS-EQ,3718
MSPL-EQ,11919
VERANDA-EQ,8890
COROMANDEL-EQ,739
